WARD: 000109011003 SIMAMBA,,,,,,,,
"GWANDA SMART W - M ,IND","1,059",57.18% 42.82%,,,,,,
"MATUMWA ABISHAI  - M ,UPND",503,27.16% 20.34%,,,,,,
"PALATEMA MAPENZI  - M ,PF",209,11.29% 8.45%,,,,,,
,,,81,,4.37%,"1,852","2,473",75%
WARD: 000109011004 NABUTEEZI,,,,,,,,
"CHAZANGWE PHINIAS  - M ,UPND",851,81.05% 75.85%,,,,,,
"CHINYAMA UCAR  - M ,PF",186,17.71% 16.58%,,,,,,
,,,13,,1.24%,"1,050","1,122",94%
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
WARD: 000109011005 MUNYAMA,,,,,,,,
"DABULAMAANZI CHARLES  - M ,UPND","1,107",69.27% 57.09%,,,,,,
"NKAUSU JORITY  - M ,PF",460,28.79% 23.72%,,,,,,
,,,31,1.94%,,"1,598","1,939",82%
WARD: 000109011006 MANCHAMVWA,,,,,,,,
"MWIINGA LEVISON  - M ,UPND",777,75.07% 58.29%,,,,,,
"KALIMINA PARENT  - M ,PF",239,23.09% 17.93%,,,,,,
,,,19,1.84%,,"1,035","1,333",78%
WARD: 000109011007 SINADAMBWE,,,,,,,,
"HAMYONGWA OSTERN  - M ,UPND","1,105",57.97% 46.29%,,,,,,
"CHILAMBWE WORLD  - M ,IND",521,27.33% 21.83%,,,,,,
"HAMOOYA ZEPHANIAH  - M ,PF",200,10.49% 8.38%,,,,,,
,,,80,4.20%,,"1,906","2,387",80%
WARD: 000109011008 LUSANGAZI,,,,,,,,
"MWIINGA ROYEN  - M ,UPND","1,046",79.36% 61.93%,,,,,,
"NKOMA BEST  - M ,PF",237,17.98% 14.03%,,,,,,
,,,35,2.66%,,"1,318","1,689",78%
WARD: 000109011009 MULIMYA,,,,,,,,
"SIMWEEMBA SYDNEY  - M ,UPND",875,82.16% 62.86%,,,,,,
"HAMWIINGA SHADRECK  - M ,PF",176,16.53% 12.64%,,,,,,
,,,14,1.31%,,"1,065","1,392",77%
WARD: 000109011010 MATUBA,,,,,,,,
"MUNYUMBWE WESLEY  - M ,UPND",599,48.58% 38.75%,,,,,,
"HAJUWA TAPSON  - M ,IND",501,40.63% 32.41%,,,,,,
"MALAMBO KELVIN  - M ,PF",98,7.95% 6.34%,,,,,,
,,,35,2.84%,,"1,233","1,546",80%
,,"01090136 ,SINAZONGWE CONSTITUENCY",,,,,,
WARD: 000109012002 NAMAZAMBWE,,,,,,,,
"SIACHUKA BEST  - M ,UPND","1,122",84.30% 57.84%,,,,,,
"SIANJINA PASTOR  - M ,PF",183,13.75% 9.43%,,,,,,
,,,26,1.95%,,"1,331","1,940",69%
WARD: 000109012003 MWEENDA,,,,,,,,
"MUDENDA PAUL  - M ,UPND","2,372",90.95% 68.40%,,,,,,
"SIPANGA MILISON S S - M ,PF",169,6.48% 4.87%,,,,,,
,,,67,2.57%,,"2,608","3,468",75%
WARD: 000109012004 MUUKA,,,,,,,,
"SYAMBULI SIKALUNDU W - M ,UPND","1,135",71.34% 57.38%,,,,,,
"BEYANI MUMBUNA  - M ,PF",435,27.34% 21.99%,,,,,,
,,,21,1.32%,,"1,591","1,978",80%
WARD: 000109012005 TEKELO,,,,,,,,
"SIANG'OMBE SUNDAY S - M ,UPND","1,683",83.94% 66.87%,,,,,,
"SIGABBA ALICK  - M ,PF",222,11.07% 8.82%,,,,,,
,VOTES OBTAINED,% AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST,REGISTERED,VOTES,PAPERS %,CAST,VOTERS,TURNOUT
,,,VOTERS,,,,,
,,,,100,4.99%,"2,005","2,517",80%
WARD: 000109012006 MWEEMBA,,,,,,,,
"NAWA LUBASI  - M ,UPND","2,879",75.96%,55.92%,,,,,
"SIBAKUKU GIVEN  - M ,PF",466,12.30%,9.05%,,,,,
"SIBANIBANI PHELIX  - M ,FDD",327,8.63%,6.35%,,,,,
,,,,118,3.11%,"3,790","5,148",74%
WARD: 000109012007 MUCHEKWA,,,,,,,,
"MANYIKA MANFRED  - M ,UPND","2,393",78.18%,59.29%,,,,,
"SYABBUWA EMMANUEL  - M ,PF",466,15.22%,11.55%,,,,,
"BIIKA GEOPHREY  - M ,FDD",125,4.08%,3.10%,,,,,
,,,,77,2.52%,"3,061","4,036",76%
WARD: 000109012008 MAAMBA,,,,,,,,
"CHIKETE ZACHARIA  - M ,UPND","4,802",88.68%,59.41%,,,,,
"NCHIMBA BORNFACE  - M ,PF",386,7.13%,4.78%,,,,,
"MUSONDA MWABA  - F ,FDD",71,1.31%,0.88%,,,,,
,,,,156,2.88%,"5,415","8,083",67%
WARD: 000109012009 MWEEZYA,,,,,,,,
"SIKAUBA KENNEDY  - M ,UPND","2,028",87.23%,62.92%,,,,,
"BBOLE HESTELLY  - F ,PF",181,7.78%,5.62%,,,,,
"SIADIMBWA MAYBIN  - M ,FDD",39,1.68%,1.21%,,,,,
,,,,77,3.31%,"2,325","3,223",72%
WARD: 000109012010 NKANDABBWE,,,,,,,,
"NTIITI CHARLES  - M ,UPND","4,754",85.75%,64.01%,,,,,
"NKUBBULE SIMUJATA  - M ,PF",580,10.46%,7.81%,,,,,
"SIMWAKALE BEULAH  - F ,FDD",19,0.34%,0.26%,,,,,
,,,,191,3.45%,"5,544","7,427",75%
WARD: 000109012011 SINAZONGWE,,,,,,,,
"KAYUMBA CHRISTOPHER  - M ,UPND","3,186",76.42%,53.68%,,,,,
"MWEEMBA OLIVER  - M ,PF",807,19.36%,13.60%,,,,,
"MWEEMBA RICKY  - M ,FDD",19,0.46%,0.32%,,,,,
,,,,157,3.77%,"4,169","5,935",70%
WARD: 000109012012 NANG‰ÛªOMBE,,,,,,,,
"CHIKOBWE MELVIN  - M ,UPND","2,428",85.40%,62.02%,,,,,
"CHAZULWA KEBBY  - M ,PF",329,11.57%,8.40%,,,,,
"SIANDIMA CONWELL  - M ,FDD",19,0.67%,0.49%,,,,,
,,,,67,2.36%,"2,843","3,915",73%
WARD: 000109012013 SINENGE,,,,,,,,
"LUITA KELVIN  - M ,UPND","1,979",70.70%,52.47%,,,,,
"CHALIKWEPA KENNETH  - M ,PF",699,24.97%,18.53%,,,,,
"NYANYAALA KHADAFFY  - M ,FDD",33,1.18%,0.87%,,,,,
,,,,88,3.14%,"2,799","3,772",74%
WARD: 000109012014 MALIMA,,,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"MAVOONGO MWEEMBA  - M ,UPND","4,257",86.97% 63.59%,,,,,,
"KALIMA EDWIN  - M ,PF",410,8.38% 6.12%,,,,,,
"MUNDUWE EDWIN  - M ,FDD",28,0.57% 0.42%,,,,,,
,,,200,4.09%,,"4,895","6,694",73%
,,"01090137 ,MAPATIZYA CONSTITUENCY",,,,,,
WARD: 000109013001 ZIMBA,,,,,,,,
"KABAMBA WEBBY  - M ,UPND","3,349",90.03% 57.42%,,,,,,
"LISULO AGNESS  - F ,PF",242,6.51% 4.15%,,,,,,
,,,129,3.47%,,"3,720","5,832",64%
WARD: 000109013002 MANGONDA,,,,,,,,
"SIMWEEMBA MICHELO S S - M ,UPND","1,738",82.25% 64.47%,,,,,,
"LIBANA HUMPHREY J  S - M ,PF",318,15.05% 11.80%,,,,,,
,,,57,2.70%,,"2,113","2,696",78%
WARD: 000109013003 LUYABA,,,,,,,,
"MUNENGE AGENT  - M ,UPND","3,592",91.10% 68.92%,,,,,,
"NYEMBA HARTLEY  - M ,PF",159,4.03% 3.05%,,,,,,
,,,192,4.87%,,"3,943","5,212",76%
WARD: 000109013004 CHIDI,,,,,,,,
"KAKOMPE MORRIS  - M ,UPND","2,818",90.70% 70.77%,,,,,,
"MWALE EDWARD  - M ,PF",138,4.44% 3.47%,,,,,,
,,,151,4.86%,,"3,107","3,982",78%
WARD: 000109013005 MULAMFU,,,,,,,,
"SIACHILEKA RODGERS  - M ,UPND","2,156",88.29% 71.20%,,,,,,
"MUDENDA FREDRICK  - M ,PF",223,9.13% 7.36%,,,,,,
,,,63,2.58%,,"2,442","3,028",81%
WARD: 000109013006 SIMWATACHELA,,,,,,,,
"KENABANYAMA TOBIAS  - M ,UPND","3,381",92.68% 72.58%,,,,,,
"MWANAWINA TOM  - M ,PF",111,3.04% 2.38%,,,,,,
,,,156,4.28%,,"3,648","4,658",78%
WARD: 000109013007 SIAMAFUMBA,,,,,,,,
"MAJUBA MICHEAL  - M ,UPND","2,381",87.73% 71.29%,,,,,,
"MWEEMBE LILLIAN  - F ,PF",177,6.52% 5.30%,,,,,,
,,,156,5.75%,,"2,714","3,340",81%
WARD: 000109013008 KANYANGA,,,,,,,,
"SIABASIMBI LWEENDO  - M ,PF","1,360",57.19% 40.93%,,,,,,
"SIACHOLA ALBERT  - M ,UPND",940,39.53% 28.29%,,,,,,
,,,78,3.28%,,"2,378","3,323",72%
WARD: 000109013009 CHALIMONGELA,,,,,,,,
"BBEULE STANFORD  - M ,UPND","1,464",94.27% 78.96%,,,,,,
"MUDENDA BOSWELL  - M ,PF",28,1.80% 1.51%,,,,,,
,,,61,3.93%,,"1,553","1,854",84%
WARD: 000109013010 MBWIKO,,,,,,,,
,VOTES OBTAINED % AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,VOTES CAST,REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"MELEKI EDGAR K - M ,UPND","1,552 90.02%",65.99%,,,,,,
"KHONDOWE MAXWELL K - M ,PF",109 6.32%,4.63%,,,,,,
,,,63,3.65%,,"1,724","2,352",73%
,"01100138 ,KALABO CENTRAL CONSTITUENCY",,,,,,,
WARD: 000110001001 LIUMBA,,,,,,,,
"MUKUMBI IWANO  - M ,UPND",850 59.82%,36.97%,,,,,,
"LIMBANGU KABAMBA  - M ,PF",437 30.75%,19.01%,,,,,,
"MAFULO KATUMBI  - M ,FDD",111 7.81%,4.83%,,,,,,
,,,23,1.62%,,"1,421","2,299",62%
WARD: 000110001002 YUKA,,,,,,,,
"NAMUSHI MULAMBWA  - M ,UPND",897 60.85%,36.69%,,,,,,
"NAWA KABATANA DS - M ,PF",546 37.04%,22.33%,,,,,,
,,,31,2.10%,,"1,474","2,445",60%
WARD: 000110001003 LUANGINGA,,,,,,,,
"MUNGOMBA MUSOLE  - M ,UPND","2,123 62.79%",33.86%,,,,,,
"CHINYAMA CHINYEMBA  - M ,PF",907 26.83%,14.47%,,,,,,
"MAKINA CHIKOMBA  - M ,FDD",240 7.10%,3.83%,,,,,,
,,,111,3.28%,,"3,381","6,270",54%
WARD: 000110001004 LUTWI,,,,,,,,
"SIMASIKU WALUBITA  - M ,UPND",868 70.28%,33.91%,,,,,,
"MATALE MALUMBANO  - M ,PF",226 18.30%,8.83%,,,,,,
"MIBANGA MUKUWE  - M ,FDD",108 8.74%,4.22%,,,,,,
,,,33,2.67%,,"1,235","2,560",48%
WARD: 000110001005 BULEYA,,,,,,,,
"MONDE MONDE  - M ,UPND","1,411 75.78%",43.56%,,,,,,
"KAONGA SAMUTUMWA  - M ,PF",288 15.47%,8.89%,,,,,,
"SIMASIKU PELEKELO  - M ,FDD",127 6.82%,3.92%,,,,,,
,,,36,1.93%,,"1,862","3,239",57%
WARD: 000110001006 MAPUNGU,,,,,,,,
"MUYUNDA MUBIANA  - M ,UPND","1,052 72.05%",46.73%,,,,,,
"MBANGWETA AKOMBELWA  - M ,PF",383 26.23%,17.01%,,,,,,
,,,25,1.71%,,"1,460","2,251",65%
WARD: 000110001007 NDOKA,,,,,,,,
"SAMUTUMWA BIEMBA  - M ,UPND","1,295 68.85%",35.31%,,,,,,
"LOONDO SIMAKO  - M ,PF",359 19.09%,9.79%,,,,,,
"KASHWEKA LIYALI  - M ,FDD",166 8.83%,4.53%,,,,,,
,,,61,3.24%,,"1,881","3,667",51%
WARD: 000110001008 KANDAMBO,,,,,,,,
"KUBANGU MUKUBE  - M ,UPND",497 65.74%,33.31%,,,,,,
"NASILELE MUKELABAI  - M ,PF",180 23.81%,12.06%,,,,,,
"MUYOWE SIMASIKU  - M ,FDD",64 8.47%,4.29%,,,,,,
,,,15,1.98%,,756,"1,492",51%
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,,PAPERS %,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
WARD: 000110001009 LUKONA,,,,,,,,
"KAUNDA MUNGAMBA  - M ,UPND",763,70.91% 35.05%,,,,,,
"KANDANDU MUKONDA  - M ,PF",219,20.35% 10.06%,,,,,,
"MBANGU MUSOLE  - M ,FDD",69,6.41% 3.17%,,,,,,
,,,25,,2.32%,"1,076","2,177",49%
WARD: 000110001010 NAMULILO,,,,,,,,
"MUTANDA NASILELE  - M ,UPND",516,64.91% 31.75%,,,,,,
"MOOTO KUNYIMA  - M ,PF",258,32.45% 15.88%,,,,,,
,,,21,,2.64%,795,"1,625",49%
WARD: 000110001011 NGUMA,,,,,,,,
"LISWANISO ARNOLD  - M ,UPND",876,72.88% 40.56%,,,,,,
"LIYUNGU MUHAU  - M ,PF",196,16.31% 9.07%,,,,,,
"NALISA MAKUYU  - M ,FDD",90,7.49% 4.17%,,,,,,
,,,40,,3.33%,"1,202","2,160",56%
WARD: 000110001012 MITWI,,,,,,,,
"NYOKA MULAMBWA L - M ,UPND",402,83.23% 38.29%,,,,,,
"SAMULELE MUNDIA  - M ,PF",73,15.11% 6.95%,,,,,,
,,,8,,1.66%,483,"1,050",46%
,,"01100139 ,LIUWA CONSTITUENCY",,,,,,
WARD: 000110001013 SILUWE,,,,,,,,
"NYAMBE MUNGANDI D - M ,UPND",611,62.86% 41.94%,,,,,,
"MANGENDA KWALELA  - M ,PF",349,35.91% 23.95%,,,,,,
,,,12,,1.23%,972,"1,457",67%
WARD: 000110001014 LIKULUNDUNDU,,,,,,,,
"MBANGWETA DOMINIC M - M ,UPND",660,69.25% 46.45%,,,,,,
"NASILELE LIPEPA  - F ,PF",274,28.75% 19.28%,,,,,,
,,,19,,1.99%,953,"1,421",67%
WARD: 000110001015 UPANGOMA,,,,,,,,
"NUMWA NYAMBE  - M ,UPND",330,80.49% 55.65%,,,,,,
"KAYWA INAMBAO  - M ,PF",75,18.29% 12.65%,,,,,,
,,,5,,1.22%,410,593,69%
WARD: 000110001016 LUOLA,,,,,,,,
"LISHOMWA LISHOMWA  - M ,UPND",527,57.98% 42.57%,,,,,,
"LISHOMWA NAMBOO H - M ,PF",373,41.03% 30.13%,,,,,,
,,,9,,0.99%,909,"1,238",73%
WARD: 000110001017 KUULI,,,,,,,,
"SOTO SOTO  - M ,UPND",759,85.67% 56.39%,,,,,,
"SIMASIKU KUFEKISA  - M ,PF",113,12.75% 8.40%,,,,,,
,,,14,,1.58%,886,"1,346",66%
WARD: 000110001018 SALUNDA,,,,,,,,
"LIUWA MWALYE B - M ,UPND",703,69.88% 42.15%,,,,,,
"MULAMBWA MUNALULA  - M ,PF",268,26.64% 16.07%,,,,,,
,VOTES OBTAINED % AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,VOTES CAST,REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,35,3.48%,,"1,006","1,668",60%
WARD: 000110001019 SISHEKANU,,,,,,,,
"KAPALU KAYAWE C - M ,UPND","2,019 78.99%",58.97%,,,,,,
"MUFAYA NALULIMBA  - M ,PF",462 18.08%,13.49%,,,,,,
,,,75,2.93%,,"2,556","3,424",75%
WARD: 000110001020 LIBONDA,,,,,,,,
"WAMUNYIMA KAITWA  - M ,UPND","2,421 76.18%",51.07%,,,,,,
"SITWALA SITWALA  - M ,PF",580 18.25%,12.23%,,,,,,
"NASILELE PUMULO  - M ,FDD",86 2.71%,1.81%,,,,,,
,,,91,2.86%,,"3,178","4,741",67%
,"01100140 ,KAOMA CENTRAL CONSTITUENCY",,,,,,,
WARD: 000110002001 LUNYATI,,,,,,,,
"KWAALA MUBUYAETA M - M ,UPND",691 77.99%,41.28%,,,,,,
"LISWANI LISWANI  - M ,PF",143 16.14%,8.54%,,,,,,
"MWAKOI SUNNY  - M ,FDD",29 3.27%,1.73%,,,,,,
,,,23,2.60%,,886,"1,674",53%
WARD: 000110002002 KALUMWANGE,,,,,,,,
"SIYANGA MUSA  - F ,UPND",614 60.73%,34.93%,,,,,,
"MUZALA JOHN  - M ,PF",336 33.23%,19.11%,,,,,,
"KAWANA SYLVESTER  - M ,FDD",39 3.86%,2.22%,,,,,,
,,,22,2.18%,,"1,011","1,758",58%
WARD: 000110002003 SHITWA,,,,,,,,
"KAMUTI KAMUTI  - M ,UPND","1,535 75.36%",42.21%,,,,,,
"KABILYANA KAWEWE  - M ,PF",446 21.89%,12.26%,,,,,,
,,,56,2.75%,,"2,037","3,637",56%
WARD: 000110002004 MULAMATILA,,,,,,,,
"MUPISHI KAUSHENI  - M ,UPND","4,988 77.82%",40.88%,,,,,,
"LIPOBA MALIANDE  - M ,PF","1,107 17.27%",9.07%,,,,,,
"MUFUTI JUDITH  - F ,FDD",167 2.61%,1.37%,,,,,,
,,,148,2.31%,,"6,410","12,203",53%
WARD: 000110002005 LONGE,,,,,,,,
"KABUYANA KAALA  - M ,UPND","1,179 67.33%",34.79%,,,,,,
"KWANGA JOHN  - M ,PF",342 19.53%,10.09%,,,,,,
"MUKALA LIBINGI  - M ,FDD",163 9.31%,4.81%,,,,,,
,,,67,3.83%,,"1,751","3,389",52%
WARD: 000110002006 NALIIELE,,,,,,,,
"CHAINDA CHISENGO  - M ,UPND",763 46.10%,25.82%,,,,,,
"CHINGELESU KABABU  - M ,FDD",609 36.80%,20.61%,,,,,,
"MUSOLE CHINYEMBA  - M ,PF",180 10.88%,6.09%,,,,,,
,,,103,6.22%,,"1,655","2,955",56%
,"01100141 ,MANGANGO CONSTITUENCY",,,,,,,
WARD: 000110002007 NAMAFULO,,,,,,,,
,VOTES OBTAINED,% AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST,REGISTERED,VOTES,PAPERS %,CAST,VOTERS,TURNOUT
,,,VOTERS,,,,,
"KAMONA MUSIYEBO  - M ,UPND",766,54.64%,30.59%,,,,,
"AKABONDO NAWA  - M ,FDD",473,33.74%,18.89%,,,,,
"MUYUNDA SISHIKA  - F ,PF",114,8.13%,4.55%,,,,,
,,,,49,3.50%,"1,402","2,504",56%
WARD: 000110002008 LUKUTE,,,,,,,,
"MWANGALA MUYUMBE  - M ,ADD",297,31.97%,19.12%,,,,,
"NGOMBO MULYATA  - M ,FDD",223,24.00%,14.36%,,,,,
"SINYAKU MATHEWS  - M ,PF",191,20.56%,12.30%,,,,,
"KAZUNGO KAWENGO  - M ,UPND",157,16.90%,10.11%,,,,,
,,,,61,6.57%,929,"1,553",60%
WARD: 000110002009 WINDA,,,,,,,,
"KAZHILA MUTONDO  - M ,UPND",734,56.29%,33.36%,,,,,
"KABANGULA KWALOMBOTA  - M ,PF",271,20.78%,12.32%,,,,,
"MISHENGO KALUBA  - M ,FDD",262,20.09%,11.91%,,,,,
,,,,37,2.84%,"1,304","2,200",59%
WARD: 000110002010 LUAMBUWA,,,,,,,,
"MUMBULA DALTON  - M ,UPND",573,74.80%,45.91%,,,,,
"KALWENA KAHILU B - F ,PF",165,21.54%,13.22%,,,,,
,,,,28,3.66%,766,"1,248",61%
WARD: 000110002011 MUSHWALA,,,,,,,,
"MATAA BERTHA  - M ,UPND",634,59.03%,38.56%,,,,,
"SITALI KASHEWE W - M ,PF",408,37.99%,24.82%,,,,,
"KASHEWE SIMUSHI P - M ,FDD",13,1.21%,0.79%,,,,,
,,,,19,1.77%,"1,074","1,644",65%
WARD: 000110002012 KAPILI,,,,,,,,
"KAYOMBO KASWEKA G - M ,UPND",741,67.98%,32.43%,,,,,
"MUNALULA IMASIKU  - M ,PF",274,25.14%,11.99%,,,,,
"NAMUSHITU NAMUKOLO T - F ,FDD",34,3.12%,1.49%,,,,,
,,,,41,3.76%,"1,090","2,285",48%
WARD: 000110002013 MANGANGO,,,,,,,,
"KAYOMBO MWALYE S - M ,UPND","1,275",52.71%,29.85%,,,,,
"SHAMIYOYO MUYENDEKWA  - M ,PF",933,38.57%,21.85%,,,,,
"MUSOLE MUSOLE M - M ,FDD",144,5.95%,3.37%,,,,,
,,,,67,2.77%,"2,419","4,271",57%
WARD: 000110002014 KANABILUMBU,,,,,,,,
"KASHANDOLA KATETE  - M ,UPND",647,46.75%,30.19%,,,,,
"MUNDANDWE MISHECK  - M ,PF",439,31.72%,20.49%,,,,,
"MWEZALA CHARLES  - M ,RAINBOW",262,18.93%,12.23%,,,,,
,,,,36,2.60%,"1,384","2,143",65%
WARD: 000110002015 SHIKOMBWE,,,,,,,,
"KALENGA KALENGA  - M ,UPND",807,63.29%,37.38%,,,,,
"NKOMESHA JOSEPHAT  - M ,PF",266,20.86%,12.32%,,,,,
"KALYANGU KATONGO  - M ,FDD",167,13.10% 7.74%,,,,,,
,,,35,,2.75%,"1,275","2,159",59%
WARD: 000110002016 NAMALOBA,,,,,,,,
"MALIKANA MERVIS  - F ,UPND",749,58.88% 36.25%,,,,,,
"KABUYANA KABUYANA  - M ,PF",373,29.32% 18.05%,,,,,,
"MUYAMBA MICHAEL  - M ,FDD",125,9.83% 6.05%,,,,,,
,,,25,,1.97%,"1,272","2,066",62%
,,"01100142 ,LUENA CONSTITUENCY",,,,,,
WARD: 000110003001 LIMULUNGA,,,,,,,,
"SACHALWA SACHALWA  - M ,UPND","1,834",54.34% 32.17%,,,,,,
"SILEMBE SITALI  - M ,ADD",975,28.89% 17.10%,,,,,,
"MUTAKELA MASWE  - M ,PF",458,13.57% 8.03%,,,,,,
"SIMOMA MWENDABAI M - M ,FDD",30,0.89% 0.53%,,,,,,
,,,78,,2.31%,"3,375","5,701",59%
WARD: 000110003002 MAKUKU,,,,,,,,
"MUTUKELWA MUTUKELWA  - M ,UPND",758,70.91% 49.84%,,,,,,
"MBANGA GODFREY  - M ,ADD",176,16.46% 11.57%,,,,,,
"PELEKELO SINYINDA  - M ,PF",105,9.82% 6.90%,,,,,,
,,,30,,2.81%,"1,069","1,521",70%
WARD: 000110003003 MABILI,,,,,,,,
"MUSWEU MUTUKWA  - M ,UPND",425,35.99% 22.61%,,,,,,
"MUBUKWANU SILE  - M ,IND",335,28.37% 17.82%,,,,,,
"TEBUHO MUNDIA  - M ,ADD",293,24.81% 15.59%,,,,,,
"AKAMANDISA AKAMANDISA  - M ,PF",68,5.76% 3.62%,,,,,,
"SIKOPO MUYANGANA  - M ,FDD",31,2.62% 1.65%,,,,,,
,,,29,,2.46%,"1,181","1,880",63%
WARD: 000110003004 IKWICHI,,,,,,,,
"MUNDIA KASIWA  - M ,ADD",416,36.46% 23.07%,,,,,,
"NGENDA SITENGE B - M ,UPND",379,33.22% 21.02%,,,,,,
"KAKOMA CHINJENGE O - M ,PF",256,22.44% 14.20%,,,,,,
"AMUKOLA SUSAN  - F ,RAINBOW",36,3.16% 2.00%,,,,,,
,,,54,,4.73%,"1,141","1,803",63%
WARD: 000110003005 USHAA,,,,,,,,
"MUBIANA LITIA  - M ,UPND",842,67.36% 43.83%,,,,,,
"MUTUKELWA MUTUKELWA  - M ,PF",203,16.24% 10.57%,,,,,,
"NABANDA NGULA  - M ,ADD",192,15.36% 9.99%,,,,,,
,,,13,,1.04%,"1,250","1,921",65%
WARD: 000110003006 SITOYA,,,,,,,,
"MWAKOI MOOKA  - M ,UPND",658,63.09% 40.02%,,,,,,
"KALALUKA LUBINDA A - M ,ADD",225,21.57% 13.69%,,,,,,
"LISWANISO MUYANGWA V - M ,PF",122,11.70% 7.42%,,,,,,
,,,,38,3.64%,"1,043","1,644",63%
WARD: 000110003007 SIMAA,,,,,,,,
"IMANGA LIBAKO  - M ,UPND","1,156",81.75%,52.10%,,,,,
"NAMUCHANA MUKOSIKU  - M ,ADD",115,8.13%,5.18%,,,,,
"MUKWITA NASILELE  - M ,PF",101,7.14%,4.55%,,,,,
,,,,42,2.97%,"1,414","2,219",64%
WARD: 000110003008 NDANDA,,,,,,,,
"MWITUMWA ALIBANDILA  - M ,UPND",796,77.28%,46.41%,,,,,
"MILIMO SINDANYAMBE  - M ,PF",134,13.01%,7.81%,,,,,
"MUKEYA KALUKUTA  - M ,ADD",79,7.67%,4.61%,,,,,
,,,,21,2.04%,"1,030","1,715",60%
WARD: 000110003009 NAMBOMA,,,,,,,,
"KAUMBA MUSHIBA  - F ,UPND",585,52.99%,33.43%,,,,,
"WACHAMA KABUNDA  - F ,ADD",243,22.01%,13.89%,,,,,
"NALISHEBO MUBIANA  - M ,PF",151,13.68%,8.63%,,,,,
"MAINA SUSIKU  - M ,RAINBOW",99,8.97%,5.66%,,,,,
,,,,26,2.36%,"1,104","1,750",63%
WARD: 000110003010 NANGULA,,,,,,,,
"MATE NDOMBO E - M ,UPND",776,57.74%,35.08%,,,,,
"LUBINDA MUBIANA  - M ,PF",283,21.06%,12.79%,,,,,
"KAYANDO TABO  - F ,ADD",185,13.76%,8.36%,,,,,
"MUMBULA KATONGO  - F ,RAINBOW",62,4.61%,2.80%,,,,,
,,,,38,2.83%,"1,344","2,212",61%
WARD: 000110003011 MIULWE,,,,,,,,
"MUMBULA MUNALULA  - M ,UPND","1,024",61.72%,35.77%,,,,,
"MWIKISA MUMBUNA  - M ,PF",374,22.54%,13.06%,,,,,
"SUSIKU PUMULO  - M ,ADD",175,10.55%,6.11%,,,,,
,,,,86,5.18%,"1,659","2,863",58%
,,"01100143 ,LUAMPA CONSTITUENCY",,,,,,
WARD: 000110004001 LUI,,,,,,,,
"KASHONDO MAMADU  - M ,UPND","1,194",75.43%,33.70%,,,,,
"MUTANUKA MUYUNDA  - M ,PF",214,13.52%,6.04%,,,,,
"KALEYI KALEYI  - M ,FDD",133,8.40%,3.75%,,,,,
,,,,42,2.65%,"1,583","3,543",45%
WARD: 000110004002 NKENGA,,,,,,,,
"LIKWASHI KUTEMBA M - F ,UPND",922,64.88%,36.16%,,,,,
"CHIYANGI KAWEWE  - M ,PF",349,24.56%,13.69%,,,,,
"NDALA TIANGO  - M ,FDD",126,8.87%,4.94%,,,,,
,,,,24,1.69%,"1,421","2,550",56%
WARD: 000110004003 MBANYUTU,,,,,,,,
"NYAMBE WALUBITA  - M ,UPND","1,221",70.42%,36.32%,,,,,
"NKUMBWA LUNETA  - M ,PF",348,20.07%,10.35%,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"LILEMBE LUNETA  - M ,FDD",98,5.65% 2.91%,,,,,,
,,,67,3.86%,,"1,734","3,362",52%
WARD: 000110004004 MWANAWASA,,,,,,,,
"KATUNGU MULONDA  - M ,UPND",899,64.96% 36.59%,,,,,,
"MATOTO MANYINGU A - M ,PF",287,20.74% 11.68%,,,,,,
